id результата;Команда;Баллы;Сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Контрольная работа 3
72;АЛГЕБРА Л-07;77.0;1;0.91;13.0;1.0;1.0;0.0;20.0;1.0;8.0;10.0
73;АЛГЕБРА Л-06;91.0;1;0.82;43.0;18.0;1.0;12.0;20.0;1.0;6.0;20.0
74;АЛГЕБРА Л-07;79.0;1;0.82;15.0;20.0;0.8;0.0;18.0;1.0;7.0;20.0
75;АЛГЕБРА Л-09;76.0;1;0.91;7.0;15.0;1.0;0.0;10.5;0.62;0.0;19.0
76;АЛГЕБРА Л-08;79.5;1;1.0;31.5;17.0;1.0;0.0;17.0;1.0;0.0;14.0
77;АЛГЕБРА Л-01;77.5;1;0.18;31.5;14.5;1.0;0.5;12.5;1.0;16.5;18.0
78;АЛГЕБРА Л-07;17.0;0;0.82;21.0;0.5;1.0;1.5;1.0;0.88;0.0;2.0
79;АЛГЕБРА Л-06;82.15;1;0.82;13.65;20.0;0.8;3.0;20.0;1.0;3.0;20.0
80;АЛГЕБРА Л-06;91.0;1;0.73;15.9;6.5;1.0;5.15;6.25;1.0;14.7;14.0
81;АЛГЕБРА Л-02;1.0;0;0.55;37.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0
82;АЛГЕБРА Л-01;100.0;1;0.27;1.0;5.0;0.0;10.0;8.0;0.12;50.0;3.0
83;АЛГЕБРА Л-06;91.0;1;1.0;30.0;18.0;1.0;0.0;20.0;1.0;0.0;20.0
84;АЛГЕБРА Л-08;61.0;1;0.45;26.0;11.5;0.8;1.5;13.5;1.0;6.0;12.0
85;АЛГЕБРА Л-08;23.0;0;0.55;16.5;15.0;1.0;8.0;0.0;0.5;0.0;0.0
86;АЛГЕБРА Л-02;48.0;0;0.82;3.5;5.5;0.8;3.0;8.0;0.88;6.5;10.0
87;АЛГЕБРА Л-07;62.0;1;0.64;16.5;20.0;0.8;2.0;20.0;1.0;1.0;7.0
88;АЛГЕБРА Л-06;54.0;0;0.91;15.25;7.0;1.0;3.65;4.25;1.0;6.7;4.0
89;АЛГЕБРА Л-09;61.5;1;1.0;26.65;10.0;1.0;4.0;7.0;1.0;12.0;9.0
90;АЛГЕБРА Л-05;81.0;1;0.82;13.0;20.0;1.0;0.0;20.0;0.75;0.0;16.0
91;АЛГЕБРА Л-05;35.0;0;0.55;25.0;8.0;0.6;0.0;5.0;0.38;0.0;9.0
92;АЛГЕБРА Л-01;100.0;1;0.27;68.0;12.0;0.8;0.0;9.5;1.0;8.0;10.5
93;АЛГЕБРА Л-02;33.0;0;0.91;7.5;3.0;1.0;3.0;4.0;1.0;6.0;10.0
94;АЛГЕБРА Л-07;55.0;0;0.82;12.0;2.0;0.4;2.5;6.0;0.75;6.0;9.0
95;АЛГЕБРА Л-07;24.0;0;0.91;26.0;2.0;1.0;5.0;1.0;1.0;8.0;2.0
96;АЛГЕБРА Л-04;9.0;0;0.36;2.0;8.0;0.2;0.0;0.0;0.25;0.0;1.0
97;АЛГЕБРА Л-02;83.0;1;0.91;1.0;20.0;0.8;0.0;19.0;0.88;0.0;16.0
98;АЛГЕБРА Л-08;61.0;1;0.73;27.0;9.0;0.4;0.0;0.0;1.0;0.0;13.0
99;АЛГЕБРА Л-06;76.0;1;1.0;46.0;20.0;1.0;15.0;20.0;1.0;3.0;5.0
100;АЛГЕБРА Л-09;83.5;1;0.91;6.0;17.0;1.0;0.0;12.5;0.75;0.0;19.5
101;АЛГЕБРА Л-03;62.0;1;0.64;36.5;10.0;1.0;5.0;10.0;0.12;1.0;16.0
102;АЛГЕБРА Л-06;63.0;1;0.64;23.3;2.0;0.6;3.3;6.5;0.62;5.9;5.0
103;АЛГЕБРА Л-09;65.0;1;1.0;35.0;16.0;1.0;0.0;10.0;1.0;0.0;13.5
104;АЛГЕБРА Л-05;88.0;1;0.82;25.5;19.0;0.6;0.0;20.0;0.75;3.0;10.0
105;АЛГЕБРА Л-08;61.0;1;0.64;36.0;15.0;1.0;0.0;8.0;1.0;5.0;5.5
106;АЛГЕБРА Л-02;53.0;0;0.82;37.0;3.5;0.8;1.5;8.0;0.75;8.0;1.0
107;АЛГЕБРА Л-05;76.0;1;0.55;21.5;13.0;1.0;0.0;9.0;0.75;8.0;8.0
108;АЛГЕБРА Л-06;76.0;1;0.64;41.0;18.0;1.0;0.0;20.0;1.0;0.0;20.0
109;АЛГЕБРА Л-04;61.0;1;0.82;15.0;12.0;1.0;0.0;12.0;1.0;0.0;13.0
110;АЛГЕБРА Л-03;96.0;1;0.91;24.0;20.0;1.0;0.0;20.0;1.0;0.0;20.0
111;АЛГЕБРА Л-01;91.0;1;0.27;41.0;20.0;1.0;0.0;19.5;0.75;16.0;11.0
112;АЛГЕБРА Л-02;79.5;1;0.91;25.5;6.0;1.0;4.0;12.0;1.0;18.0;10.0
113;АЛГЕБРА Л-05;67.0;1;0.91;23.5;20.0;1.0;0.0;16.0;1.0;0.0;9.0
114;АЛГЕБРА Л-05;50.0;0;0.91;22.0;13.0;1.0;0.0;8.0;1.0;0.0;9.0
115;АЛГЕБРА Л-05;50.0;0;0.91;20.0;13.0;1.0;0.0;8.0;1.0;0.0;10.0
116;АЛГЕБРА Л-07;76.0;1;1.0;21.0;1.0;1.0;4.0;20.0;1.0;12.0;11.0
117;АЛГЕБРА Л-05;80.0;1;0.36;26.0;18.0;1.0;10.0;20.0;0.38;3.0;20.0
118;АЛГЕБРА Л-04;15.0;0;0.36;9.0;11.0;0.2;0.0;4.0;0.38;0.0;0.0
119;АЛГЕБРА Л-01;53.8;0;0.55;2.0;7.0;0.0;3.8;5.0;0.12;7.0;7.0
120;АЛГЕБРА Л-09;51.0;0;0.91;28.0;5.0;1.0;1.0;7.0;0.75;9.0;10.0
121;АЛГЕБРА Л-02;85.0;1;0.91;20.5;7.0;1.0;7.5;12.0;0.75;16.5;12.0
122;АЛГЕБРА Л-07;76.0;1;0.73;22.5;18.0;1.0;10.0;20.0;1.0;3.0;20.0
