Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
1.0;1;0.21;0.02;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0;1.0;0.15;0.48;0.1038;1.0;0.06;0.26;0.1125;0.71;0.128;0.55;0.11
1.0;1;0.79;0.04;0.13;0.0529;1.0;0.02;0.09;0.024;0.29;0.0;0.0;0.0
1.0;1;0.43;0.0;0.0;0.06;0.25;0.0;0.0;0.05;0.43;0.0;0.0;0.03
0.0;0;0.93;0.16;0.52;0.1104;1.0;0.06;0.26;0.1634;1.0;0.1;0.43;0.177
1.0;0;0.57;0.18;0.58;0.11;0.75;0.06;0.26;0.13;0.43;0.02;0.09;0.13
1.0;1;1.0;0.06;0.19;0.02;0.75;0.02;0.09;0.11;1.0;0.02;0.09;0.08
1.0;0;0.93;0.125;0.4;0.085;0.5;0.0;0.0;0.11599999999999999;0.71;0.0;0.0;0.05
1.0;1;0.71;0.085;0.27;0.0;1.0;0.069;0.3;0.11800000000000001;0.71;0.115;0.5;0.132
1.0;0;0.57;0.11;0.35;0.05;0.75;0.13449999999999998;0.58;0.17679999999999998;0.57;0.06;0.26;0.1945
1.0;0;0.86;0.035;0.11;0.037000000000000005;1.0;0.0;0.0;0.05;0.71;0.0;0.0;0.0
1.0;0;0.93;0.02;0.06;0.13;0.5;0.03;0.13;0.12;1.0;0.11;0.48;0.1
0.0;1;0.64;0.077;0.25;0.0;0.75;0.048;0.21;0.0;0.57;0.008;0.03;0.0
1.0;0;0.29;0.0;0.0;0.0;0.0;0.03;0.13;0.01;0.86;0.07;0.3;0.0
1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0;0.71;0.16;0.52;0.0535;0.5;0.06;0.26;0.092;0.43;0.1;0.43;0.067
0.0;0;0.21;0.068;0.22;0.10099999999999999;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0;0.93;0.198;0.64;0.157;1.0;0.055;0.24;0.095;0.71;0.184;0.8;0.163
0.0;0;0.86;0.14;0.45;0.0709;1.0;0.06;0.26;0.1341;1.0;0.1;0.43;0.145
1.0;1;0.71;0.045;0.15;0.147;1.0;0.04;0.17;0.0341;0.57;0.02;0.09;0.106
1.0;1;1.0;0.067;0.22;0.016;1.0;0.042;0.18;0.05;1.0;0.044000000000000004;0.19;0.057
0.0;0;1.0;0.16;0.52;0.14300000000000002;1.0;0.06;0.26;0.1734;1.0;0.1;0.43;0.195
