 ÓÏ‡Ì‰‡;ÕÂ Ò‰‡Î(-‡);œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3
œËŒ¿ œ-08.01;0;0.57;0.16;1.0;0.2596825437818679;0.02;20.0;1.0;0.67;0.06;1.0;0.0;0.02;10.0;1.0;0.4;0.07;0.8;0.8164965809277259;0.02;3.0;0.0
œËŒ¿ œ-02.04;0;0.86;0.139;0.875;0.3535245068875805;0.061;15.8;1.0;0.33;0.035;0.6666666666666666;0.9013878188659973;0.06;16.9;1.0;1.0;0.075;0.8;0.7905694150420948;0.06;13.0;1.0
œËŒ¿ œ-06.03;1;0.79;0.05;0.625;0.15565100305989213;0.0;5.0;1.0;1.0;0.03;0.6666666666666666;0.8660254037844386;0.0;7.0;1.0;1.0;0.04;0.4;0.9999999999999999;0.0;11.0;1.0
œËŒ¿ œ-03.02;1;1.0;0.1215;1.0;0.4822041873733247;0.0165;14.1;1.0;1.0;0.048;1.0;0.3122498999199199;0.05;9.9;1.0;0.8;0.042;0.8;0.7234178138070234;0.02;13.3;0.0
œËŒ¿ œ-06.03;0;1.0;0.15;1.0;0.24387280368362568;0.0;10.0;1.0;0.67;0.05;1.0;0.49999999999999994;0.0;14.0;1.0;1.0;0.1;1.0;0.0;0.04;15.0;1.0
œËŒ¿ œ-08.03;1;0.79;0.075;0.625;0.3462433917091572;0.01;10.0;1.0;0.33;0.05;1.0;0.49999999999999994;0.02;7.0;1.0;0.6;0.09;1.0;0.40824829046386296;0.03;9.0;1.0
œËŒ¿ œ-04.03;0;1.0;0.155;1.0;0.344502716929193;0.0;13.87;1.0;1.0;0.06;1.0;0.0;0.0;16.57;1.0;1.0;0.09;1.0;0.40824829046386296;0.0;18.5;1.0
œËŒ¿ œ-05.04;1;0.79;0.040999999999999995;0.5;0.27569309635009803;0.0;3.83;1.0;1.0;0.03;0.6666666666666666;0.8660254037844386;0.0;8.0;1.0;1.0;0.0;0.0;0.0;0.0;5.5;1.0
œËŒ¿ œ-06.03;1;0.43;0.09;0.75;0.24525573579398632;0.0;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-05.01;0;0.86;0.16;1.0;0.2585222447764938;0.0;17.66;1.0;1.0;0.06;1.0;0.0;0.0;16.39;0.0;0.6;0.08;0.8;0.8164965809277259;0.0;13.8;1.0
œËŒ¿ œ-05.04;1;0.79;0.08;0.875;0.15565100305989213;0.0;2.5;1.0;1.0;0.05;1.0;0.24999999999999997;0.0;3.0;1.0;1.0;0.075;0.8;0.7905694150420948;0.0;7.83;1.0
œËŒ¿ œ-04.03;0;1.0;0.126;1.0;0.2810146301598338;0.0;17.95;1.0;1.0;0.059000000000000004;1.0;0.050000000000000044;0.0;18.85;1.0;1.0;0.1;1.0;0.0;0.0;19.1;1.0
œËŒ¿ œ-06.01;1;0.93;0.06;0.375;0.34284543518788435;0.07;1.0;1.0;0.67;0.0;0.0;0.0;0.07;0.0;0.0;0.4;0.0;0.0;0.0;0.06;0.0;1.0
