Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Корень дисперсии баллов до Контрольная работа 1;Доставленные баллы на Контрольная работа 1;Контрольная работа 1;Присутствие на Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Корень дисперсии баллов до Контрольная работа 2;Доставленные баллы на Контрольная работа 2;Контрольная работа 2;Присутствие на Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Корень дисперсии баллов до Контрольная работа 3;Доставленные баллы на Контрольная работа 3;Контрольная работа 3;Присутствие на Контрольная работа 3
0;0.82;0.0;0.0;0.14172997370861087;0.0;11.0;1.0;1.0;0.0;0.0;0.0;0.0;18.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0
1;0.55;0.0175;0.18181818181818182;0.12882104898705915;0.0;6.0;1.0;0.8;0.025;0.4;0.13948208816291768;0.0;6.0;1.0;0.62;0.0075;0.125;0.013824615536029233;0.0;3.0;0.0
0;0.91;0.04;0.36363636363636365;0.16368117444178878;0.0;1.0;1.0;1.0;0.05;1.0;0.0;0.0;10.0;0.0;0.75;0.06;0.75;0.024134227484768175;0.0;15.0;1.0
0;0.82;0.08349999999999999;0.8181818181818182;0.24348312235728561;0.0;7.0;1.0;1.0;0.0455;1.0;0.10330153060667076;0.0;4.5;1.0;0.86;0.07400000000000001;0.75;0.04168543062735681;0.0;8.0;1.0
1;0.55;0.0;0.0;0.3424832944112365;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.02;0.125;0.03686564142941129;0.0;0.1;1.0
0;0.45;0.0;0.0;0.08768397597878042;0.0;15.0;1.0;1.0;0.0;0.0;0.0;0.0;10.5;1.0;1.0;0.105;0.125;0.19354461750440927;0.0;11.0;1.0
0;0.82;0.0;0.0;0.1158481861898467;0.0;20.0;1.0;1.0;0.1;0.8;0.39451492157623586;0.0;15.0;0.0;0.5;0.0;0.0;0.0;0.0;20.0;1.0
0;0.91;0.08;0.7272727272727273;0.27454157840174326;0.0;14.0;1.0;1.0;0.0;0.0;0.0;0.0;16.0;1.0;1.0;0.0;0.0;0.0;0.0;9.0;0.0
1;0.82;0.04;0.2727272727272727;0.14398657857228872;0.0;5.0;1.0;1.0;0.035;0.8;0.14957787555661814;0.0;4.0;1.0;1.0;0.06;0.875;0.03413095182635666;0.0;0.0;1.0
0;1.0;0.08;0.7272727272727273;0.17702439333477485;0.0;18.0;1.0;1.0;0.08;0.8;0.17643243655649238;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;0.0
0;1.0;0.02;0.09090909090909091;0.10400368256595667;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0;1.0;0.1;0.125;0.18432820714705644;0.0;10.0;1.0
0;0.91;0.04;0.36363636363636365;0.3591046254291458;0.0;15.0;1.0;1.0;0.05;1.0;0.0;0.0;1.0;1.0;0.5;0.04;0.5;0.027867805470029143;0.0;20.0;1.0
0;1.0;0.0;0.0;0.36105166579497827;0.0;17.0;1.0;1.0;0.0;0.0;0.0;0.0;17.0;1.0;1.0;0.0;0.0;0.0;0.0;14.0;1.0
1;0.36;0.02;0.18181818181818182;0.28797315714457744;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;1.0;0.0;0.0;0.0;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;19.5;1.0;1.0;0.0;0.0;0.0;0.0;17.0;1.0
0;0.82;0.0;0.0;0.3919989514345477;0.0;15.0;1.0;1.0;0.0;0.0;0.0;0.0;19.0;1.0;1.0;0.0;0.0;0.0;0.0;13.0;1.0
0;1.0;0.04;0.36363636363636365;0.2973100394408269;0.0;11.0;1.0;1.0;0.05;1.0;0.0;0.0;1.0;1.0;1.0;0.08;1.0;0.0;0.0;20.0;1.0
0;0.91;0.095;0.9090909090909092;0.16080681325224352;0.0;4.0;1.0;0.8;0.03;0.8;0.08958399315052759;0.0;7.0;1.0;0.75;0.026000000000000002;0.5;0.02683859207449267;0.0;2.0;1.0
1;0.82;0.02;0.18181818181818182;0.36939147268601685;0.0;1.0;1.0;0.8;0.0;0.0;0.0;0.0;19.0;1.0;1.0;0.01;0.125;0.018432820714705644;0.0;0.0;1.0
0;0.91;0.1;0.36363636363636365;0.08149567101270105;0.0;20.0;1.0;0.8;0.12;0.8;0.2646486548347386;0.0;20.0;1.0;1.0;0.13;0.625;0.07851355451363717;0.0;20.0;0.0
1;0.0;0.0;0.0;0.051578809399282596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0.82;0.04;0.36363636363636365;0.01872280273304132;0.0;1.0;1.0;0.8;0.04;0.8;0.08821621827824619;0.0;6.0;1.0;0.62;0.2;0.625;0.2855600306067282;0.0;20.0;1.0
0;0.82;0.14;0.8181818181818182;0.2125471082454344;0.0;20.0;1.0;1.0;0.15;1.0;0.0;0.0;20.0;1.0;1.0;0.11;0.625;0.07340138732102065;0.0;20.0;0.0
1;0.45;0.015;0.09090909090909091;0.015473642819784783;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;1.0;0.38;0.0;0.0;0.0;0.0;0.0;0.0
0;0.73;0.0;0.0;0.0;0.0;20.0;1.0;0.8;0.08;0.4;0.45412077791469985;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;6.0;1.0
0;0.82;0.02;0.18181818181818182;0.30858158568243266;0.0;11.0;1.0;1.0;0.05;1.0;0.0;0.0;18.0;1.0;1.0;0.08;1.0;0.0;0.0;16.0;1.0
0;0.82;0.04;0.36363636363636365;0.22528574785300515;0.0;15.0;1.0;1.0;0.05;1.0;0.0;0.0;6.0;0.0;0.14;0.02;0.25;0.024134227484768175;0.0;20.0;1.0
0;0.91;0.02;0.09090909090909091;0.11413343499397739;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0;1.0;0.08;0.125;0.14746256571764516;0.0;10.0;1.0
0;0.82;0.07;0.6363636363636364;0.3677511024506904;0.0;18.0;1.0;1.0;0.12;0.8;0.26464865483473854;0.0;20.0;1.0;1.0;0.06;0.25;0.07240268245430453;0.0;20.0;0.0
0;0.82;0.07;0.2727272727272727;0.08912666560524385;0.0;20.0;1.0;0.8;0.0;0.0;0.0;0.0;18.0;1.0;1.0;0.07;0.375;0.0707068339681024;0.0;20.0;0.0
0;0.91;0.0;0.0;0.07221033315899562;0.0;15.0;1.0;1.0;0.0;0.0;0.0;0.0;10.5;1.0;0.62;0.0;0.0;0.0;0.0;19.0;1.0
0;1.0;0.0;0.0;0.32494649921548036;0.0;17.0;1.0;1.0;0.0;0.0;0.0;0.0;17.0;1.0;1.0;0.0;0.0;0.0;0.0;14.0;1.0
0;0.18;0.0;0.0;0.32494649921548036;0.0;14.5;1.0;1.0;0.005;0.2;0.0441081091391231;0.0;12.5;1.0;1.0;0.165;0.125;0.30414154179264313;0.0;18.0;1.0
1;0.82;0.055;0.2727272727272727;0.10980066980665226;0.0;0.5;1.0;1.0;0.015;0.4;0.08821621827824619;0.0;1.0;1.0;0.86;0.0;0.0;0.0;0.0;2.0;1.0
0;0.82;0.07150000000000001;0.6363636363636364;0.06790277862786874;0.0;20.0;1.0;0.8;0.03;0.6000000000000001;0.10804236090984298;0.0;20.0;1.0;1.0;0.03;0.25;0.03879034354157695;0.0;20.0;0.0
0;0.73;0.069;0.7272727272727273;0.09118257567246447;0.0;6.5;1.0;1.0;0.051500000000000004;0.8;0.146887288375752;0.0;6.25;1.0;1.0;0.147;1.0;0.04186552321551604;0.0;14.0;1.0
1;0.55;0.0;0.0;0.3868410704946195;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0.27;0.01;0.09090909090909091;0.010315761879856519;0.0;5.0;0.0;0.0;0.1;0.8;0.36903491762706625;0.0;8.0;0.0;0.12;0.5;0.875;0.660355273798271;0.0;3.0;0.0
0;1.0;0.07;0.6363636363636364;0.23400828577340255;0.0;18.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0
0;0.45;0.0;0.0;0.2682098088762695;0.0;11.5;1.0;0.8;0.015;0.4;0.08821621827824618;0.0;13.5;1.0;1.0;0.06;0.125;0.11059692428823387;0.0;12.0;1.0
1;0.55;0.0;0.0;0.15962003088303672;0.0;15.0;1.0;1.0;0.08;0.4;0.45412077791469985;0.0;0.0;1.0;0.43;0.0;0.0;0.0;0.0;0.0;1.0
