 ÓÏ‡Ì‰‡;ÕÂ Ò‰‡Î(-‡);œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3
œËŒ¿ œ-09;1;1.0;0.04;0.5;0.48989794855663565;0.0;4.0;1.0;1.0;0.0;0.0;0.44221663871405337;0.0;10.0;1.0;1.0;0.0;0.0;0.3558897407194891;0.0;0.0;0.0
œËŒ¿ œ-02;1;0.22;0.11699999999999999;1.0;0.7849203781276162;0.05;9.3;1.0;0.25;0.0;0.0;0.8481973682523449;0.0;5.0;0.0;0.43;0.03;0.5;0.7225360114181111;0.179;7.7;1.0
œËŒ¿ œ-09;0;0.78;0.09;0.625;0.9433981132056605;0.0;13.83;1.0;0.5;0.06;1.0;0.9660917830792959;0.02;18.0;1.0;0.86;0.02;0.16666666666666666;0.8921842377141063;0.0;12.0;1.0
œËŒ¿ œ-10;0;0.89;0.14;1.0;0.8;0.0;16.0;1.0;1.0;0.06;1.0;0.8692269873603532;0.02;15.0;0.0;0.57;0.04;0.3333333333333333;0.8911628472960083;0.0;12.33;1.0
œËŒ¿ œ-28;0;0.78;0.16;1.0;0.8;0.0;14.33;1.0;0.75;0.06;1.0;0.8844332774281066;0.0;10.78;0.0;0.71;0.1;0.8333333333333333;0.864067518241825;0.0;4.6;1.0
œËŒ¿ œ-28;1;0.67;0.155;1.0;0.788986691902975;0.005;5.67;1.0;0.75;0.06;1.0;0.812058357207291;0.01;4.49;1.0;0.43;0.1;0.8333333333333333;0.7935467014746426;0.01;9.83;1.0
œËŒ¿ œ-09;0;0.89;0.15;1.0;0.806225774829855;0.03;13.0;1.0;0.5;0.06;1.0;0.823754471047914;0.03;16.0;1.0;0.71;0.03;0.3333333333333333;0.882977256703096;0.0;17.83;1.0
œËŒ¿ œ-31;0;0.89;0.16;1.0;0.8;0.005;10.99;1.0;0.75;0.06;1.0;0.82065180664829;0.0;13.71;1.0;0.86;0.1;0.8333333333333333;0.8363333975829068;0.0;16.33;1.0
œËŒ¿ œ-09;1;0.89;0.06;0.625;0.66332495807108;0.0;8.0;1.0;0.75;0.0;0.0;0.6110100926607788;0.0;14.0;1.0;0.57;0.0;0.0;0.49663752424772334;0.0;8.34;1.0
œËŒ¿ œ-28;1;0.67;0.01;0.125;0.30000000000000004;0.0;2.6;1.0;0.0;0.0;0.0;0.25753937681885636;0.0;0.0;1.0;0.29;0.0;0.0;0.19557956467948945;0.0;0.0;0.0
œËŒ¿ œ-08;0;1.0;0.13;1.0;0.8717797887081348;0.155;8.0;1.0;0.75;0.055;1.0;0.8578865821045938;0.015;15.7;1.0;0.86;0.1;0.8333333333333333;0.821398872626069;0.0;18.0;1.0
œËŒ¿ œ-08;0;1.0;0.111;1.0;0.7272551134230683;0.075;14.5;1.0;0.25;0.045;1.0;0.7308088892816378;0.015;16.6;1.0;0.86;0.1;0.8333333333333333;0.7570613246840215;0.0;15.0;1.0
