Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
1.0;1;1.0;0.128;9.0;0.41;0.32;1.0;0.025;3.0;0.11;0.32999999999999996;0.71;0.037000000000000005;4.0;0.16;0.5
1.0;0;0.93;0.11;7.0;0.35;0.5;0.25;0.02;2.0;0.09;0.8;1.0;0.07;4.0;0.3;0.9
1.0;1;0.57;0.07;4.0;0.23;0.15;0.5;0.04;1.0;0.17;0.0;0.71;0.01;1.0;0.04;0.2
1.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0;1.0;0.155;8.0;0.5;0.8560000000000001;1.0;0.04;2.0;0.17;0.8560000000000001;1.0;0.1;5.0;0.43;0.9550000000000001
1.0;0;0.57;0.1235;8.0;0.4;0.735;1.0;0.0935;4.0;0.41;0.945;1.0;0.08599999999999998;6.0;0.37;1.0
1.0;0;0.79;0.16;8.0;0.52;0.86;0.75;0.06;3.0;0.26;1.0;0.57;0.12;6.0;0.52;0.825
1.0;0;0.86;0.16;8.0;0.52;0.6;0.5;0.06;3.0;0.26;0.6;1.0;0.1;5.0;0.43;0.675
1.0;1;0.79;0.12;8.0;0.39;0.536;0.5;0.0;0.0;0.0;0.0;0.29;0.02;1.0;0.09;0.3
1.0;1;0.64;0.06;5.0;0.19;0.0;0.5;0.01;1.0;0.04;0.6;0.43;0.0;0.0;0.0;0.05
0.0;0;0.43;0.14;8.0;0.45;0.45599999999999996;1.0;0.06;3.0;0.26;0.637;0.86;0.1;5.0;0.43;0.885
